N;Готовый продукт;Ингредиент;Расходный коэффициент;Техкарта
1;Рулон г/к|2 - 3,9|900 - 924|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
2;Рулон г/к|2 - 3,9|925 - 949|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
3;Рулон г/к|2 - 3,9|950 - 974|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
4;Рулон г/к|2 - 3,9|975 - 999|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
5;Рулон г/к|4 - 10|900 - 924|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
6;Рулон г/к|4 - 10|925 - 949|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
7;Рулон г/к|4 - 10|950 - 974|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
8;Рулон г/к|4 - 10|975 - 999|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
9;Рулон г/к|1,5 - 1,9|1000 - 1111|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
10;Рулон г/к|1,5 - 1,9|1112 - 1224|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
11;Рулон г/к|1,5 - 1,9|1225 - 1336|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
12;Рулон г/к|1,5 - 1,9|1337 - 1450|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
13;Рулон г/к|2 - 3,9|1000 - 1111|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
14;Рулон г/к|2 - 3,9|1112 - 1224|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
15;Рулон г/к|2 - 3,9|1225 - 1336|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
16;Рулон г/к|2 - 3,9|1337 - 1450|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
17;Рулон г/к|4 - 10|1000 - 1111|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
18;Рулон г/к|4 - 10|1112 - 1224|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
19;Рулон г/к|4 - 10|1225 - 1336|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
20;Рулон г/к|4 - 10|1337 - 1450|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
21;Рулон г/к|2 - 3,9|1000 - 1111|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
22;Рулон г/к|2 - 3,9|1112 - 1224|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
23;Рулон г/к|2 - 3,9|1225 - 1336|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
24;Рулон г/к|2 - 3,9|1337 - 1450|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
25;Рулон г/к|4 - 10|1000 - 1111|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
26;Рулон г/к|4 - 10|1112 - 1224|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
27;Рулон г/к|4 - 10|1225 - 1336|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
28;Рулон г/к|4 - 10|1337 - 1450|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
29;Рулон г/к|10,1 - 12|1000 - 1111|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
30;Рулон г/к|10,1 - 12|1112 - 1224|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
31;Рулон г/к|10,1 - 12|1225 - 1336|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
32;Рулон г/к|10,1 - 12|1337 - 1450|ОК;Сляб;1,053;Стан прокатки №2 (Линия А)
33;Рулон г/к|2 - 3,9|1451 - 1674|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
34;Рулон г/к|2 - 3,9|1675 - 1899|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
35;Рулон г/к|2 - 3,9|1900 - 2124|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
36;Рулон г/к|2 - 3,9|2125 - 2350|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
37;Рулон г/к|4 - 10|1451 - 1674|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
38;Рулон г/к|4 - 10|1675 - 1899|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
39;Рулон г/к|4 - 10|1900 - 2124|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
40;Рулон г/к|4 - 10|2125 - 2350|ОК;Сляб;1,053;Стан прокатки №1 (Линия А)
41;Рулон г/к|2 - 3,9|900 - 924|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
42;Рулон г/к|2 - 3,9|925 - 949|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
43;Рулон г/к|2 - 3,9|950 - 974|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
44;Рулон г/к|2 - 3,9|975 - 999|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
