Name;Preform;Hmin;Hmax;Bmin;Bmax;SteelGradeGroup
Калибр-10х10;Заготовка_1;9.5;10.5;9.5;10.5;1
Калибр-12х12;Заготовка_1;11.5;12.5;11.5;12.5;1
Калибр-16х16;Заготовка_1;15.5;16.5;15.5;16.5;1
Калибр-20х20;Заготовка_2;19.0;21.0;19.0;21.0;2
Калибр-25х25;Заготовка_2;24.0;26.0;24.0;26.0;2
Калибр-30х30;Заготовка_2;29.0;31.0;29.0;31.0;2
Калибр-40х40;Заготовка_3;39.0;41.0;39.0;41.0;3
Калибр-50х50;Заготовка_3;49.0;51.0;49.0;51.0;3
Полоса-20х4;Заготовка_1;3.5;4.5;19.0;21.0;1
Полоса-30х5;Заготовка_1;4.5;5.5;29.0;31.0;1
Сляб;Сляб;250;250;900;2350;1
Рулон г/к|2 - 3,9|900 - 924|ОК;Рулон г/к;2;3,9;900;924;1
Рулон г/к|2 - 3,9|925 - 949|ОК;Рулон г/к;2;3,9;925;949;1
Рулон г/к|2 - 3,9|950 - 974|ОК;Рулон г/к;2;3,9;950;974;1
Рулон г/к|2 - 3,9|975 - 999|ОК;Рулон г/к;2;3,9;975;999;1
Рулон г/к|4 - 10|900 - 924|ОК;Рулон г/к;4;10;900;924;1
Рулон г/к|4 - 10|925 - 949|ОК;Рулон г/к;4;10;925;949;1
Рулон г/к|4 - 10|950 - 974|ОК;Рулон г/к;4;10;950;974;1
Рулон г/к|4 - 10|975 - 999|ОК;Рулон г/к;4;10;975;999;1
Рулон г/к|1,5 - 1,9|1000 - 1111|ОК;Рулон г/к;1,5;1,9;1000;1111;1
Рулон г/к|1,5 - 1,9|1112 - 1224|ОК;Рулон г/к;1,5;1,9;1112;1224;1
Рулон г/к|1,5 - 1,9|1225 - 1336|ОК;Рулон г/к;1,5;1,9;1225;1336;1
Рулон г/к|1,5 - 1,9|1337 - 1450|ОК;Рулон г/к;1,5;1,9;1337;1450;1
Рулон г/к|2 - 3,9|1000 - 1111|ОК;Рулон г/к;2;3,9;1000;1111;1
Рулон г/к|2 - 3,9|1112 - 1224|ОК;Рулон г/к;2;3,9;1112;1224;1
Рулон г/к|2 - 3,9|1225 - 1336|ОК;Рулон г/к;2;3,9;1225;1336;1
Рулон г/к|2 - 3,9|1337 - 1450|ОК;Рулон г/к;2;3,9;1337;1450;1
Рулон г/к|4 - 10|1000 - 1111|ОК;Рулон г/к;4;10;1000;1111;1
Рулон г/к|4 - 10|1112 - 1224|ОК;Рулон г/к;4;10;1112;1224;1
Рулон г/к|4 - 10|1225 - 1336|ОК;Рулон г/к;4;10;1225;1336;1
Рулон г/к|4 - 10|1337 - 1450|ОК;Рулон г/к;4;10;1337;1450;1
Рулон г/к|10,1 - 12|1000 - 1111|ОК;Рулон г/к;10,1;12;1000;1111;1
Рулон г/к|10,1 - 12|1112 - 1224|ОК;Рулон г/к;10,1;12;1112;1224;1
Рулон г/к|10,1 - 12|1225 - 1336|ОК;Рулон г/к;10,1;12;1225;1336;1
Рулон г/к|10,1 - 12|1337 - 1450|ОК;Рулон г/к;10,1;12;1337;1450;1
Рулон г/к|2 - 3,9|1451 - 1674|ОК;Рулон г/к;2;3,9;1451;1674;1
Рулон г/к|2 - 3,9|1675 - 1899|ОК;Рулон г/к;2;3,9;1675;1899;1
Рулон г/к|2 - 3,9|1900 - 2124|ОК;Рулон г/к;2;3,9;1900;2124;1
Рулон г/к|2 - 3,9|2125 - 2350|ОК;Рулон г/к;2;3,9;2125;2350;1
Рулон г/к|4 - 10|1451 - 1674|ОК;Рулон г/к;4;10;1451;1674;1
Рулон г/к|4 - 10|1675 - 1899|ОК;Рулон г/к;4;10;1675;1899;1
Рулон г/к|4 - 10|1900 - 2124|ОК;Рулон г/к;4;10;1900;2124;1
Рулон г/к|4 - 10|2125 - 2350|ОК;Рулон г/к;4;10;2125;2350;1
Рулон г/к|2 - 3,9|900 - 924|КК;Рулон г/к;2;3,9;900;924;2
Рулон г/к|2 - 3,9|925 - 949|КК;Рулон г/к;2;3,9;925;949;2
Рулон г/к|2 - 3,9|950 - 974|КК;Рулон г/к;2;3,9;950;974;2
Рулон г/к|2 - 3,9|975 - 999|КК;Рулон г/к;2;3,9;975;999;2
Рулон г/к|4 - 10|900 - 924|КК;Рулон г/к;4;10;900;924;2
Рулон г/к|4 - 10|925 - 949|КК;Рулон г/к;4;10;925;949;2
Рулон г/к|4 - 10|950 - 974|КК;Рулон г/к;4;10;950;974;2
Рулон г/к|4 - 10|975 - 999|КК;Рулон г/к;4;10;975;999;2
Рулон г/к|1,5 - 1,9|1000 - 1111|КК;Рулон г/к;1,5;1,9;1000;1111;2
Рулон г/к|1,5 - 1,9|1112 - 1224|КК;Рулон г/к;1,5;1,9;1112;1224;2
Рулон г/к|1,5 - 1,9|1225 - 1336|КК;Рулон г/к;1,5;1,9;1225;1336;2
Рулон г/к|1,5 - 1,9|1337 - 1450|КК;Рулон г/к;1,5;1,9;1337;1450;2
Рулон г/к|2 - 3,9|1000 - 1111|КК;Рулон г/к;2;3,9;1000;1111;2
Рулон г/к|2 - 3,9|1112 - 1224|КК;Рулон г/к;2;3,9;1112;1224;2
Рулон г/к|2 - 3,9|1225 - 1336|КК;Рулон г/к;2;3,9;1225;1336;2
Рулон г/к|2 - 3,9|1337 - 1450|КК;Рулон г/к;2;3,9;1337;1450;2
Рулон г/к|4 - 10|1000 - 1111|КК;Рулон г/к;4;10;1000;1111;2
Рулон г/к|4 - 10|1112 - 1224|КК;Рулон г/к;4;10;1112;1224;2
Рулон г/к|4 - 10|1225 - 1336|КК;Рулон г/к;4;10;1225;1336;2
Рулон г/к|4 - 10|1337 - 1450|КК;Рулон г/к;4;10;1337;1450;2
Рулон г/к|10,1 - 12|1000 - 1111|КК;Рулон г/к;10,1;12;1000;1111;2
Рулон г/к|10,1 - 12|1112 - 1224|КК;Рулон г/к;10,1;12;1112;1224;2
Рулон г/к|10,1 - 12|1225 - 1336|КК;Рулон г/к;10,1;12;1225;1336;2
Рулон г/к|10,1 - 12|1337 - 1450|КК;Рулон г/к;10,1;12;1337;1450;2
Рулон г/к|2 - 3,9|1451 - 1674|КК;Рулон г/к;2;3,9;1451;1674;2
Рулон г/к|2 - 3,9|1675 - 1899|КК;Рулон г/к;2;3,9;1675;1899;2
Рулон г/к|2 - 3,9|1900 - 2124|КК;Рулон г/к;2;3,9;1900;2124;2
Рулон г/к|2 - 3,9|2125 - 2350|КК;Рулон г/к;2;3,9;2125;2350;2
Рулон г/к|4 - 10|1451 - 1674|КК;Рулон г/к;4;10;1451;1674;2
