Name;Sku;Type;Uom;HeightMm;WidthMm;PreformType;LeadTimeDays
Квадрат стальной 10х10;SQ-10;0;шт;10;10;Заготовка_1;2
Квадрат стальной 12х12;SQ-12;0;шт;12;12;Заготовка_1;2
Квадрат стальной 16х16;SQ-16;0;шт;16;16;Заготовка_1;3
Квадрат стальной 20х20;SQ-20;0;тн;20;20;Заготовка_2;3
Квадрат стальной 25х25;SQ-25;0;тн;25;25;Заготовка_2;4
Квадрат стальной 30х30;SQ-30;0;тн;30;30;Заготовка_2;4
Квадрат стальной 40х40;SQ-40;0;тн;40;40;Заготовка_3;5
Квадрат стальной 50х50;SQ-50;0;тн;50;50;Заготовка_3;5
Полоса 20х4 мм;STR-20x4;0;тн;4;20;Заготовка_1;2
Полоса 30х5 мм;STR-30x5;0;тн;5;30;Заготовка_1;2
Арматура А500С d12;ARM-12;0;тн;12;12;Заготовка_1;1
Арматура А500С d16;ARM-16;0;тн;16;16;Заготовка_1;1
